author_id	full_name	first_name	n_pubs	gender	discipline
1629293	van acker, k	kristien	31	f	CLINICAL MEDICINE
1659248	leyns, l	luc	31	m	BASIC LIFE SCIENCES
1683873	thienpont, h	hugo	341	m	PHYSICS AND MATERIALS SCIENCE
1712696	gobin, a	anne	37	f	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
3221178	fally, s	sophie	30	f	CHEMISTRY AND CHEMICAL ENGINEERING
3244878	houf, k	kurt	120	m	BASIC LIFE SCIENCES
3250712	crine, m	michel	95	m	CHEMISTRY AND CHEMICAL ENGINEERING
3258114	kesteloot, c	chris	3	m	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
3281578	deplaen, e	etienne	75	m	BASIC LIFE SCIENCES
5008328	van steen, a	andre	35	m	CLINICAL MEDICINE
5031049	verspecht, j	jan	18	m	ELECTRICAL ENGINEERING AND TELECOMMUNICATION
5076412	differding, e	edmond	4	m	CHEMISTRY AND CHEMICAL ENGINEERING
5077852	christophe, c	catherine	66	f	CLINICAL MEDICINE
5158915	hans, p	pol	142	m	CLINICAL MEDICINE
5160962	coroama, m	manuela	8	f	BIOMEDICAL SCIENCES
5194529	marchal, k	kathleen	148	f	BASIC LIFE SCIENCES
6734742	wagers, ss	scott	29	m	CLINICAL MEDICINE
8029540	delplancke-ogletree, mp	marie-paule	57	f	PHYSICS AND MATERIALS SCIENCE
8037628	claes, r	rita	10	f	PSYCHOLOGY
8169942	van gaal, l	luc	463	m	CLINICAL MEDICINE
9352700	de houwer, a	annick	8	f	LANGUAGE AND LINGUISTICS
9357230	medaer, r	robert	41	m	BIOMEDICAL SCIENCES
9525472	golinval, jc	jean-claude	74	m	MECHANICAL ENGINEERING AND AEROSPACE
9557260	de smet, l	lina	56	f	BASIC LIFE SCIENCES
11196009	onghena, p	patrick	177	m	PSYCHOLOGY
11279673	koutsoukos, m	marguerite	28	f	BIOMEDICAL SCIENCES
13015079	pirnay, jp	jean-paul	81	m	BASIC LIFE SCIENCES
13027447	vleugels, j	jef	340	m	PHYSICS AND MATERIALS SCIENCE
13041301	de mol, p	patrick	52	m	CLINICAL MEDICINE
13195214	lynen, f	frederic	116	m	CHEMISTRY AND CHEMICAL ENGINEERING
13203509	lauwers, s	sabine	106	f	CLINICAL MEDICINE
13241406	remion, j	jeanine	2	f	CHEMISTRY AND CHEMICAL ENGINEERING
14930770	van nieuwenhove, r	rudi	11	m	ENERGY SCIENCE AND TECHNOLOGY
14950565	vandergroen, g	guido	212	m	BIOMEDICAL SCIENCES
14988969	latour, p	pascale	6	f	CLINICAL MEDICINE
14995696	borremans, fam	frans a. m.	52	m	CHEMISTRY AND CHEMICAL ENGINEERING
15029038	decker, g	georges	39	m	CLINICAL MEDICINE
18696740	vanhees, l	luc	197	m	CLINICAL MEDICINE
20380356	rabijns, a	anja	45	f	BASIC LIFE SCIENCES
20467617	van doorn, kj	karin janssen	24	f	CLINICAL MEDICINE
22800184	de knop, p	paul	7	m	SOCIOLOGY AND ANTHROPOLOGY
22831672	defise, jm	jean-marc	27	m	ASTRONOMY AND ASTROPHYSICS
24442284	degre, d	delphine	62	f	CLINICAL MEDICINE
27971406	van cakenberghe, v	victor	3	m	BIOLOGICAL SCIENCES
28035107	de winter, h	hans	37	m	CHEMISTRY AND CHEMICAL ENGINEERING
28052180	tanghe, a	an	11	f	BASIC LIFE SCIENCES
29775007	delaey, jj	jean-jacques	75	m	CLINICAL MEDICINE
29931210	deneubourg, jl	jean-louis	238	m	BIOLOGICAL SCIENCES
29948819	fedorenko, yg	yanina g.	22	f	PHYSICS AND MATERIALS SCIENCE
31835244	degand, h	herve	26	m	BASIC LIFE SCIENCES
33586162	bultinck, p	patrick	191	m	CHEMISTRY AND CHEMICAL ENGINEERING
33626581	de wolf, i	ingrid	153	f	PHYSICS AND MATERIALS SCIENCE
35291034	boone, m	marc	31	m	CLINICAL MEDICINE
35319303	billiau, a	an d.	319	f	BIOMEDICAL SCIENCES
35327977	colens, a	alain	2	m	CHEMISTRY AND CHEMICAL ENGINEERING
35425109	van schepdael, a	ann	240	f	CHEMISTRY AND CHEMICAL ENGINEERING
35488006	van den noortgate, n	nele	103	f	HEALTH SCIENCES
37213234	colpin, h	hilde	52	f	PSYCHOLOGY
38920421	verhoest, nec	niko e. c.	128	m	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
38925351	valckenaers, p	paul	51	m	COMPUTER SCIENCES
40575057	desmedt, m	marianne	7	f	HEALTH SCIENCES
40690916	devillers, r	raymond	28	m	COMPUTER SCIENCES
40799019	vanhaute, o	omer a.	13	m	CLINICAL MEDICINE
42442555	somers, v	veerle	98	f	BIOMEDICAL SCIENCES
42452544	demyttenaere, jcr	jan	34	m	CHEMISTRY AND CHEMICAL ENGINEERING
42507871	de boeck, g	gudrun	113	f	BIOLOGICAL SCIENCES
42567567	gyssens, m	marc	37	m	COMPUTER SCIENCES
42590463	melard, g	guy	24	m	STATISTICAL SCIENCES
42601577	liekens, s	sandra	111	f	BIOMEDICAL SCIENCES
44038949	verhelst, r	robert	78	m	CLINICAL MEDICINE
44131294	de lentdecker, g	giles	862	m	PHYSICS AND MATERIALS SCIENCE
44139664	noben, jp	jean-paul	83	m	BASIC LIFE SCIENCES
44189436	de borggraeve, wm	wim m.	106	m	CHEMISTRY AND CHEMICAL ENGINEERING
44207827	irrthum, a	alexandre	7	m	BASIC LIFE SCIENCES
45931476	vandermeulen, w	willy	15	m	PHYSICS AND MATERIALS SCIENCE
45936181	jerusalem, g	guy	208	m	CLINICAL MEDICINE
45980526	oury, c	cecile	77	f	CLINICAL MEDICINE
47365433	crombe, p	philippe	61	m	EARTH SCIENCES AND TECHNOLOGY
47379619	danckaert, j	jan	107	m	PHYSICS AND MATERIALS SCIENCE
47419931	reynaert, c	christine	122	f	CLINICAL MEDICINE
49298847	van den ende, j	jef	112	m	CLINICAL MEDICINE
50928436	uytterhoeven, k	koen	11	m	PHYSICS AND MATERIALS SCIENCE
50958359	sansterre, jm	jean-marie	27	m	HISTORY, PHILOSOPHY AND RELIGION
50978040	pardoen, t	thomas	181	m	PHYSICS AND MATERIALS SCIENCE
51008338	hertogs, k	kurt	97	m	BIOMEDICAL SCIENCES
51021067	buyse, g	gunnar	96	m	CLINICAL MEDICINE
51039351	raes, g	geert	79	m	BIOMEDICAL SCIENCES
51090734	weerts, j	joseph	42	m	CLINICAL MEDICINE
51094535	hetzer, w	wolfgang	17	m	LAW AND CRIMINOLOGY
858370	van geet, c	chris	170	m	CLINICAL MEDICINE
1033661	mathot, vbf	vincent b. f.	99	m	CHEMISTRY AND CHEMICAL ENGINEERING
1051552	van hoeck, b	beatrice	13	f	CLINICAL MEDICINE
2441274	wenseleers, t	tom	116	m	BIOLOGICAL SCIENCES
2537956	hafner, cm	christian m.	42	m	STATISTICAL SCIENCES
4366050	hens, h	hugo	32	m	CIVIL ENGINEERING AND CONSTRUCTION
4380783	rousseau, mf	michel f.	347	m	CLINICAL MEDICINE
4429390	stinissen, p	piet	226	m	BIOMEDICAL SCIENCES
4438225	ribera, jm	joan muela	27	f	CLINICAL MEDICINE
4501222	meuleman, n	nathalie	149	f	CLINICAL MEDICINE
9868562	lagutin, as	alexander	56	m	PHYSICS AND MATERIALS SCIENCE
9936950	boonen, s	steven	690	m	CLINICAL MEDICINE
9949300	brysbaert, m	marc	184	m	PSYCHOLOGY
