document id	term id
1	33
1	257
1	425
1	529
1	530
2	34
2	128
2	170
2	225
2	379
2	385
2	409
2	422
2	425
2	428
2	431
2	432
2	435
2	455
2	484
3	121
3	197
3	259
3	265
3	294
3	465
3	469
4	43
4	48
4	68
4	85
4	107
4	152
4	425
5	50
5	171
5	344
5	378
5	425
5	553
6	45
6	75
6	219
6	250
6	252
6	309
6	409
6	508
6	540
7	62
7	122
7	136
7	169
7	197
7	265
7	350
7	425
7	437
7	438
7	465
7	538
8	16
8	21
8	99
8	110
8	137
8	261
8	359
8	375
8	435
8	439
8	468
8	489
8	491
9	25
9	36
9	54
9	57
9	79
9	160
9	177
9	182
9	183
9	190
9	235
9	316
9	383
9	403
9	412
9	446
9	483
9	552
10	38
10	110
10	392
10	407
10	424
10	425
10	491
11	16
11	108
11	110
11	118
11	142
11	256
11	257
11	315
11	349
11	372
11	392
11	465
11	506
11	535
11	539
12	60
13	93
13	97
13	106
13	132
13	133
13	218
13	230
13	303
13	385
13	455
13	510
14	36
14	48
14	59
14	201
14	235
14	262
14	294
14	433
14	495
14	554
15	292
16	510
17	85
17	107
17	127
17	141
18	29
18	134
18	288
19	33
19	134
19	357
19	362
19	424
19	490
21	538
22	359
23	100
23	141
23	328
24	125
24	134
25	134
25	164
26	336
26	495
28	141
28	176
29	137
30	507
31	459
32	2
34	411
35	190
35	395
36	73
36	213
36	357
36	424
37	10
37	19
37	20
37	223
38	431
38	459
39	117
39	281
39	292
41	196
42	207
42	531
43	108
43	213
43	424
43	532
44	109
47	18
47	468
48	365
48	438
49	121
50	141
52	500
53	33
53	85
53	90
53	107
53	178
53	179
53	181
53	185
53	232
53	291
53	337
53	429
53	430
53	431
53	459
53	472
53	473
53	474
53	530
54	13
54	68
54	69
54	121
54	140
54	169
54	170
54	171
54	196
54	238
54	332
54	349
54	373
54	374
54	381
54	437
54	476
54	539
54	552
55	15
55	48
55	277
55	282
55	286
55	306
55	346
55	397
55	416
55	453
55	510
55	541
56	2
56	43
56	122
56	142
56	201
56	233
56	240
56	349
56	382
56	464
56	465
56	484
56	498
57	13
57	20
57	34
57	48
57	110
57	113
57	114
57	115
57	122
57	138
57	145
57	187
57	215
57	257
57	271
57	275
57	277
57	306
57	341
57	345
57	347
57	350
57	366
57	371
57	388
57	397
57	398
57	400
57	425
57	435
57	466
57	468
57	494
57	496
58	80
58	125
58	134
58	158
58	207
58	305
58	317
58	365
58	424
59	38
59	41
59	90
59	229
59	258
59	263
59	264
59	327
59	338
59	360
59	385
60	59
60	170
60	197
60	255
60	317
60	425
60	438
60	476
60	517
60	519
60	523
61	127
61	141
61	145
61	243
61	253
61	494
62	34
62	87
62	355
62	385
62	397
62	398
62	399
62	435
62	468
63	16
63	48
63	59
63	88
63	124
63	159
63	167
63	173
63	175
63	202
63	207
63	226
63	303
63	350
63	359
63	448
63	455
63	465
63	486
63	487
63	514
63	516
63	519
63	520
64	72
64	82
64	176
64	201
64	227
64	382
64	476
64	500
64	532
64	539
65	386
65	405
65	540
66	495
66	540
67	215
67	275
67	356
68	170
68	476
69	322
69	463
69	505
70	170
70	532
71	71
71	438
72	212
72	389
73	60
73	532
74	317
74	357
75	535
75	539
76	43
76	57
76	290
77	62
77	197
77	465
78	43
79	418
79	421
79	434
80	20
80	110
80	495
82	73
82	381
84	85
84	107
84	539
85	190
85	253
85	460
86	356
87	62
88	381
88	417
90	114
90	357
90	420
90	529
91	321
91	397
92	110
92	430
92	444
92	460
92	507
93	34
93	207
93	245
93	438
93	460
93	469
94	88
94	373
95	85
95	107
95	429
96	94
96	326
98	85
98	107
98	127
98	141
98	336
99	55
99	98
100	5
100	21
100	190
100	529
101	190
102	25
102	54
102	527
102	540
103	134
103	456
104	85
104	107
104	202
106	85
106	107
106	143
106	539
107	85
107	107
109	291
110	57
110	62
111	40
111	446
111	460
112	460
113	141
113	336
114	85
114	107
114	133
114	152
115	420
115	529
116	85
116	107
118	78
118	148
119	54
119	104
119	395
119	478
119	540
120	478
121	220
121	540
122	45
122	176
122	219
123	44
123	481
124	196
125	54
127	186
127	459
128	44
128	148
128	215
128	372
128	495
129	243
130	145
131	307
132	254
132	355
132	482
133	54
133	93
134	54
135	40
135	127
135	243
136	215
137	182
138	228
140	143
140	219
141	176
141	513
142	291
142	383
143	57
143	309
144	142
144	389
145	4
145	43
145	308
146	54
146	145
146	308
147	210
147	389
148	269
148	380
148	424
149	381
149	541
150	77
150	380
150	399
151	3
151	380
151	395
152	316
152	417
153	372
154	372
155	176
155	372
156	176
157	44
157	372
158	43
158	308
161	4
161	145
162	512
165	34
165	113
166	69
166	80
166	250
167	60
167	94
168	60
168	134
169	20
169	201
169	359
170	110
170	126
170	350
170	430
170	474
170	530
171	209
171	495
171	496
172	394
172	468
173	20
173	34
173	110
174	60
177	271
178	234
178	321
178	380
178	527
179	321
179	381
180	126
182	317
183	138
183	252
183	495
184	409
187	326
188	43
188	100
188	494
189	85
189	107
189	315
190	108
191	85
191	107
192	59
192	498
193	85
193	107
193	207
193	231
194	118
194	506
195	197
195	333
195	430
196	249
196	400
197	20
197	167
197	397
197	450
198	5
198	98
198	253
198	314
198	495
199	110
199	113
199	397
200	40
200	196
200	307
201	54
201	112
201	287
201	429
201	494
202	227
202	381
203	85
203	107
203	127
203	141
204	196
204	409
205	85
205	107
205	196
206	239
206	335
206	430
206	460
206	507
207	31
208	132
208	409
209	190
209	405
210	243
210	424
210	502
211	142
211	485
211	491
212	31
212	243
212	424
212	502
212	525
213	307
214	239
214	287
215	287
216	85
216	94
216	107
217	85
217	107
217	280
218	138
218	280
