id	term	occurrences	relevance score
1	a lumbricoide	11	2.3141
2	abundance	28	0.8707
3	acceptability	17	0.8648
4	access	76	0.9195
5	accuracy	32	0.2844
6	act	26	1.6277
7	action	25	0.7057
8	acts	10	2.301
9	adherence	26	0.7939
10	administration	28	0.736
11	admission	21	0.9007
12	adverse event	16	2.0095
13	agreement	26	0.6926
14	amodiaquine	21	2.595
15	anaemia	30	0.6928
16	animal	56	0.7233
17	anopheles	10	1.0869
18	antibody	87	0.4992
19	antibody response	27	0.7887
20	antigen	108	0.6071
21	antigen detection	12	1.4239
22	antimalarial drug	10	1.5043
23	antimalarial treatment	18	1.6177
24	antiretroviral therapy	22	2.0214
25	antiretroviral treatment	29	1.8361
26	aor	13	0.7575
27	arabiensis	11	2.1203
28	art	34	1.8376
29	artemether lumefantrine	28	1.7528
30	artemisinin	45	1.2598
31	artesunate	41	1.6278
32	article	32	0.4991
33	ascaris lumbricoide	19	2.1097
34	assay	105	0.3265
35	asymptomatic individual	10	0.3452
36	attention	34	0.6734
37	attitude	15	1.1021
38	awareness	20	0.8483
39	bangladesh	14	1.3618
40	barrier	32	1.1333
41	bed net	26	0.9034
42	behaviour	43	0.7571
43	belgium	35	0.5284
44	benin	35	0.6813
45	bihar	33	1.3218
46	birth	19	1.0532
47	blood	98	0.2187
48	blood sample	87	0.4195
49	bolivia	18	1.0507
50	brazil	12	0.654
51	buruli ulcer	40	1.163
52	burundi	23	0.4816
53	card agglutination test	16	1.6911
54	care	145	1.1195
55	case control study	22	0.5025
56	case management	27	0.7348
57	case study	18	1.1898
58	catt	16	1.4986
59	cattle	31	0.958
60	cell	70	0.3892
61	central africa	14	0.3532
62	central vietnam	32	0.9589
63	cerebrospinal fluid	26	1.1873
64	chagas disease	20	0.8005
65	chloroquine	26	1.4592
66	choice	27	0.5989
67	classification	14	0.3726
68	clinic	41	0.92
69	clinical isolate	14	0.946
70	clinical malaria	19	0.6313
71	clinical sample	14	0.8511
72	clinical sign	12	0.3697
73	clinical trial	64	0.7364
74	clinician	12	0.5821
75	combination therapy	45	1.2739
76	combination treatment	13	1.973
77	community health worker	10	1.1139
78	compliance	26	0.9479
79	complication	32	0.6004
80	compound	25	0.4168
81	conclusion significance	15	0.433
82	conclusions significance	67	0.4678
83	congenital chagas disease	12	2.276
84	congenital infection	15	2.1774
85	congo	164	0.5043
86	control group	14	0.5092
87	cost effectiveness	30	0.6627
88	cote divoire	16	0.5223
89	count	64	0.5516
90	coverage	61	0.7996
91	csf	18	1.2873
92	csp	10	1.1474
93	cuba	46	1.0261
94	culture	56	0.3843
95	cure	20	0.3492
96	cure rate	21	1.1835
97	curtain	12	2.1872
98	cutaneous leishmaniasis	24	0.5467
99	cyst	20	1.1545
100	cysticercosis	45	1.9432
101	dat	21	1.3285
102	ddt	13	2.3299
103	degrees c	19	0.2078
104	delay	31	0.6738
105	delivery	53	1.1261
106	deltamethrin	19	2.3467
107	democratic republic	157	0.5191
108	dengue	28	0.7332
109	density	47	0.5081
110	detection	182	0.2664
111	diabete	10	0.9531
112	diagnostic accuracy	21	0.731
113	diagnostic performance	13	0.8762
114	diagnostic test	26	0.4004
115	diagnostic tool	29	0.3881
116	diarrhoea	10	1.0987
117	dihydroartemisinin piperaquine	12	2.1793
118	diptera	18	1.1759
119	direct agglutination test	21	1.2924
120	discharge	13	1.325
121	diversity	30	0.4426
122	dna	67	0.5467
123	dog	20	0.8383
124	domestic animal	11	1.2878
125	dose	90	0.6189
126	dr congo	20	0.4279
127	drc	57	0.554
