id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3	"abad, y."	1.2059	0.3813	19	9	14	3	0	0	2011	0	0
9	"abatih, emmanuel"	-0.4738	0.1234	3	35	38	5	41	9.1852	2015.2	8.2	1.837
11	"abatih, emmanuel nji"	-0.2703	0.0869	3	19	27	6	97	11.9346	2014.8333	16.1667	1.9891
25	"abdulla, salim"	-0.0992	0.3705	1	31	41	4	75	7.6468	2011.75	18.75	1.9117
31	"abebe, gemeda"	-0.8924	-0.2397	2	2	4	2	102	8.9521	2011	51	4.4761
37	"ablordey, anthony"	-0.2652	-0.1063	10	26	37	5	162	7.9786	2009.8	32.4	1.5957
39	"abongomera, c."	1.0826	-0.1001	18	15	20	2	0	0	2016	0	0
40	"abongomera, charles"	-0.5538	-0.3671	23	14	16	2	28	5.8239	2016	14	2.9119
41	"abouchadi, s."	0.9324	0.3442	19	3	4	3	14	1.3727	2015.3333	4.6667	0.4576
42	"abouchadi, saloua"	-0.4619	-0.54	23	2	3	2	22	3.4205	2014	11	1.7102
52	"achan, jane"	-0.7947	-0.1193	2	25	47	7	193	19.8341	2014.2857	27.5714	2.8334
57	"achiong, f."	1.4232	0.2901	19	8	16	2	0	0	2015	0	0
70	"adams, emily r."	-0.4599	-0.1676	17	6	6	2	24	1.2689	2012	12	0.6345
72	"adaui, v."	1.0922	0.093	8	9	12	3	0	0	2013	0	0
73	"adaui, vanessa"	-0.4646	-0.0738	9	13	16	2	22	2.779	2013	11	1.3895
76	"addiss, david"	-0.7468	0.2556	13	9	9	2	27	4.914	2015	13.5	2.457
80	"adegbola, richard a."	-0.3081	0.17	3	7	11	3	58	4.6214	2013.3333	19.3333	1.5405
82	"adem, e."	1.0219	-0.0328	18	13	20	3	0	0	2017	0	0
83	"adem, emebet"	-0.5177	-0.446	23	15	28	3	14	3.5837	2016	4.6667	1.1946
96	"adoke, yeka"	-0.756	-0.1803	2	15	18	3	10	0.8475	2010	3.3333	0.2825
99	"adriaensen, w."	1.0279	-0.0199	18	14	29	4	0	0	2017	0	0
105	"affara, muna"	-0.6983	-0.062	2	10	24	5	27	4.3537	2015.2	5.4	0.8707
106	"affolabi, d."	0.924	0.2696	8	7	10	3	0	0	2011.6667	0	0
107	"affolabi, dissou"	-0.2865	-0.153	10	13	18	4	33	5.7345	2010.75	8.25	1.4336
108	"afolabi, muhammed o."	-0.3448	-0.03	2	12	13	2	12	2.184	2016	6	1.092
114	"agapito, j."	1.0572	0.3234	8	5	5	2	4	0.2034	2011	2	0.1017
130	"agudelo, e. londono"	1.2795	0.3521	19	1	2	2	0	0	2017	0	0
133	"aguiar, julia"	-0.2887	-0.1265	10	12	13	2	15	1.4924	2011.5	7.5	0.7462
135	"aguilar, eder"	-0.9757	0.3085	16	12	24	2	1	0.9098	2017	0.5	0.4549
140	"ahmad, r. a."	1.3121	0.1423	39	5	6	2	1	0.0789	2007	0.5	0.0395
141	"ahmad, riris a."	-0.138	-0.311	24	5	9	2	23	0.9768	2009	11.5	0.4884
148	"ahmed, osman"	-0.355	-0.1715	9	10	19	2	24	1.6784	2014	12	0.8392
155	"ahounou, daniel"	-0.741	-0.2656	28	11	34	4	22	1.0056	2009.25	5.5	0.2514
157	"aide, pedro"	-0.3475	0.4444	1	21	47	3	2	0.1578	2007	0.6667	0.0526
158	"aidoo, michael"	-0.4729	-0.2457	17	5	8	2	8	0.5595	2015.5	4	0.2797
169	"akerfeldt, k."	1.3267	-0.3369	11	5	8	4	1	0.0878	2013.5	0.25	0.0219
174	"akoda, k."	1.2065	-0.1223	12	4	8	3	14	0.6663	2009	4.6667	0.2221
176	"akogbeto, martin"	-0.7458	-0.3054	28	17	49	7	124	5.4993	2009.1429	17.7143	0.7856
194	"alarcon, f."	0.8619	0.157	33	7	12	2	0	0	2007	0	0
204	"alberts, m."	0.9401	-0.1145	4	6	18	5	0	0	2014.6	0	0
205	"albonico, m."	1.0387	-0.2327	20	7	12	3	38	2.0091	2013.6667	12.6667	0.6697
206	"albonico, marco"	-0.84	0.3351	13	27	67	7	273	26.1654	2013.5714	39	3.7379
208	"alcoba, g."	1.2844	-0.0311	18	6	8	2	0	0	2017	0	0
212	"ale, anita"	-0.3088	0.2112	3	13	23	3	53	4.019	2014.6667	17.6667	1.3397
213	"alegret, m."	1.3584	0.2365	19	7	9	2	0	0	2010	0	0
218	"alemu, abebe"	-0.8879	-0.2457	2	2	4	2	102	8.9521	2011	51	4.4761
223	"alessandro, u."	0.7598	-0.079	6	6	7	2	0	0	2005	0	0
225	"alessandro, u. d."	0.7799	-0.054	18	5	8	2	0	0	2013	0	0
228	"alexander, n."	1.0679	0.2515	8	5	7	2	0	0	2017	0	0
229	"alexander, neal"	-0.104	-0.038	24	11	11	2	21	1.7797	2015	10.5	0.8898
243	"alirol, emilie"	-0.495	-0.3585	7	30	48	4	30	2.9312	2015.5	7.5	0.7328
249	"allen, john"	-0.1705	0.2563	22	12	28	3	29	4.1765	2015.6667	9.6667	1.3922
253	"allepuz, alberto"	-0.2452	0.1403	3	8	12	2	36	19.361	2016.5	18	9.6805
258	"alnour, mubarak"	-0.5719	-0.4835	7	9	14	2	24	2.7991	2014.5	12	1.3995
