id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
9	"abbasi, a"	-0.2289	0.6583	33	4	9	11	290	21.7095	2011.5455	26.3636	1.9736
21	"abels, e"	-0.3151	-0.5326	15	3	3	5	89	5.7587	1996.2	17.8	1.1517
29	"abramo, g"	1.6202	0.9695	30	6	109	68	905	102.3496	2012.8529	13.3088	1.5051
30	"abrizah, a"	-0.2006	-0.7038	9	3	4	6	39	5.8053	2014.6667	6.5	0.9675
32	"abt, h"	0.2858	-0.5492	13	1	1	5	52	2.8738	1997.6	10.4	0.5748
50	"adams, j"	0.3832	0.5025	28	1	1	6	122	9.1978	2010.3333	20.3333	1.533
80	"aguillo, i"	0.5681	-0.3546	11	5	6	6	104	6.262	2007.1667	17.3333	1.0437
81	"aguillo, if"	0.4995	-0.2138	11	12	19	16	287	23.477	2011.4375	17.9375	1.4673
86	"ahlgren, p"	0.604	0.4063	14	8	19	13	334	20.5244	2010.0769	25.6923	1.5788
106	"ajiferuke, i"	-0.8473	0.2137	26	3	9	10	136	11.1824	2005.1	13.6	1.1182
114	"aksnes, d"	0.9064	0.2052	17	2	3	5	320	14.762	2002.6	64	2.9524
115	"aksnes, dw"	0.8278	0.1561	17	3	4	8	189	16.9814	2012	23.625	2.1227
147	"albarran, p"	0.3166	0.6908	20	3	15	8	193	13.7734	2011.625	24.125	1.7217
190	"allen, b"	-0.0722	-0.2814	15	5	6	6	217	11.5809	1997	36.1667	1.9301
192	"allen, d"	0.0836	-0.3209	12	2	2	6	101	7.4724	2010.1667	16.8333	1.2454
311	"aparicio, j"	1.3661	0.0045	29	5	11	5	35	6.2608	2013.8	7	1.2522
331	"archambault, e"	0.0596	-0.3994	9	3	16	11	620	29.5039	2007.8182	56.3636	2.6822
340	"arencibia-jorge, r"	0.506	0.7886	20	4	8	5	41	3.3207	2011.6	8.2	0.6641
373	"arunachalam, s"	0.0858	0.3963	6	2	2	9	122	7.1478	1992.4444	13.5556	0.7942
407	"ausloos, m"	0.6284	-0.2716	11	1	1	8	82	11.3623	2012	10.25	1.4203
469	"bailon-moreno, r"	-0.99	1.4501	18	4	24	9	63	3.2293	2004.8889	7	0.3588
502	"ball, m"	-0.0175	-0.6407	13	1	4	8	24	1.8581	1989.875	3	0.2323
525	"bar-ilan, j"	0.3335	-0.1864	11	10	17	41	1086	71.7876	2007.6585	26.4878	1.7509
546	"barjak, f"	-0.227	-0.5083	5	3	5	5	124	5.31	2006.6	24.8	1.062
553	"barnett, ga"	0.2461	-0.0428	10	4	6	6	55	4.8023	2011.1667	9.1667	0.8004
560	"barre, r"	0.7762	-0.8771	21	1	1	6	39	2.2422	1993.8333	6.5	0.3737
598	"bassecoulard, e"	0.7468	-0.9424	21	3	19	14	508	27.5044	2002.1429	36.2857	1.9646
620	"bauer, j"	0.747	0.7737	23	3	7	5	9	2.8351	2015.4	1.8	0.567
645	"beath, c"	-0.0085	-1.3033	32	4	13	5	8	0.4005	1992.2	1.6	0.0801
651	"beaulieu, m"	-0.0187	0.0248	8	4	5	5	91	5.0445	1999.6	18.2	1.0089
652	"beaver, d"	0.1525	-0.3609	13	6	14	8	270	14.0891	2009.375	33.75	1.7611
669	"beheshti, j"	-0.8549	0.4309	26	5	25	17	310	18.2862	2002.4706	18.2353	1.0757
681	"belkin, n"	-0.585	-0.3067	4	4	4	5	42	3.4819	1999.8	8.4	0.6964
682	"belkin, nj"	-0.5919	-0.082	4	3	4	5	41	4.4938	2012.2	8.2	0.8988
713	"bensman, s"	0.3145	0.4571	28	1	1	6	105	4.7549	2000.3333	17.5	0.7925
714	"bensman, sj"	0.2592	0.5068	28	1	1	7	77	4.4962	2009.7143	11	0.6423
733	"bergman, o"	0.1235	-0.151	8	2	2	5	76	4.4408	2009.6	15.2	0.8882
764	"besagni, d"	0.911	-0.8178	21	7	23	5	35	2.6009	2012	7	0.5202
786	"bhattacharya, s"	0.0381	0.1418	6	5	7	14	198	12.059	2006.0714	14.1429	0.8614
811	"bilal, d"	-0.3134	-0.1772	5	1	1	6	434	21.5695	2001.8333	72.3333	3.5949
885	"bodoff, d"	-0.0808	0.002	8	4	4	12	56	3.2574	2005.3333	4.6667	0.2714
889	"boerner, k"	-0.0768	-0.1592	3	9	11	9	233	15.9878	2011.1111	25.8889	1.7764
905	"bollen, j"	-0.1507	0.2547	6	7	10	7	278	13.1213	2009	39.7143	1.8745
913	"bonaccorsi, a"	1.1227	0.6388	30	3	10	9	194	14.7255	2011.2222	21.5556	1.6362
923	"bonitz, m"	0.6	-0.2995	11	1	5	23	159	9.9572	1996	6.913	0.4329
934	"bookstein, a"	0.2101	0.8906	25	2	2	17	422	26.6243	1995.1765	24.8235	1.5661
941	"bordons, m"	1.2636	0.0223	29	10	44	30	1028	60.4219	2006.0333	34.2667	2.0141
943	"borgman, c"	0.0288	0.2054	8	4	8	19	773	49.7019	1992.5789	40.6842	2.6159
948	"borner, k"	0.6428	-0.213	11	4	5	6	429	22.7988	2007.3333	71.5	3.7998
949	"bornmann, l"	0.7193	0.6628	23	29	172	152	2714	303.9736	2012.7434	17.8553	1.9998
965	"bouabid, h"	-0.2025	-0.585	9	1	2	6	46	3.866	2012.3333	7.6667	0.6443
991	"boyack, kw"	0.2329	-0.3058	13	4	17	15	649	45.1633	2010.6667	43.2667	3.0109
998	"bozeman, b"	-0.5204	0.6386	7	3	3	5	81	6.1156	2011.2	16.2	1.2231
999	"braam, r"	0.8784	-0.118	19	4	7	5	348	18.1328	2000	69.6	3.6266
1013	"branin, j"	-0.0083	-1.2639	32	4	13	6	4	0.2436	1994	0.6667	0.0406
1019	"braun, t"	1.1432	-0.2808	24	10	95	72	2066	125.2095	1994.7222	28.6944	1.739
1097	"bruza, p"	-0.1219	0.0203	8	1	1	6	86	4.6824	2005.5	14.3333	0.7804
1116	"buckley, k"	-0.3028	-1.0163	9	2	11	7	638	47.152	2012.2857	91.1429	6.736
1162	"burrell, q"	-0.0794	0.5562	25	1	1	26	363	17.8798	2000	13.9615	0.6877
1176	"butler, l"	0.9519	0.101	19	1	1	6	152	7.6991	2003.1667	25.3333	1.2832
1183	"cabanac, g"	0.3644	-0.0549	10	2	7	14	45	8.2385	2013.6429	3.2143	0.5885
1214	"calero-medina, c"	0.8922	0.3173	14	12	14	5	159	13.3212	2011.2	31.8	2.6642
1222	"callon, m"	-1.142	1.4331	18	2	7	6	272	14.0634	1990.1667	45.3333	2.3439
1326	"case, d"	0.0212	0.2436	8	2	4	14	242	13.0007	1995.0714	17.2857	0.9286
1336	"castellano, c"	-0.0805	0.4514	12	5	9	5	96	10.6345	2012.6	19.2	2.1269
1384	"chambers, t"	-0.4027	0.0637	2	9	17	5	28	6.8542	2014.6	5.6	1.3708
1416	"chang, hw"	-1.3016	0.0032	22	2	5	5	27	3.0465	2013.4	5.4	0.6093
1419	"chang, kc"	-1.5115	-0.1389	22	3	6	7	73	5.2477	2011.4286	10.4286	0.7497
1432	"chang, yw"	-1.3084	-0.1103	22	1	4	7	43	5.8803	2014	6.1429	0.84
1450	"chau, m"	-0.3285	0.0585	3	5	11	8	172	8.1309	2005.75	21.5	1.0164
1467	"chen, c"	-0.4715	0.1364	2	16	24	34	969	59.2988	2007.1176	28.5	1.7441
1473	"chen, d"	-0.6725	-0.1001	4	9	19	8	113	6.6767	2008.5	14.125	0.8346
1475	"chen, dz"	-1.1942	-0.0349	22	10	58	33	223	20.7701	2012.6364	6.7576	0.6294
1477	"chen, h"	-0.3333	-0.0108	3	23	47	62	1479	84.9754	2005.4355	23.8548	1.3706
1478	"chen, hh"	-1.5645	0.0922	22	1	1	6	61	3.9157	2011.3333	10.1667	0.6526
1480	"chen, j"	-0.2176	0.0134	10	9	17	9	61	4.2949	2009.6667	6.7778	0.4772
1484	"chen, k"	-0.6985	-0.066	3	4	8	6	68	7.387	2013.3333	11.3333	1.2312
1487	"chen, l"	-0.0685	-0.1042	3	3	3	6	45	3.8678	2007.3333	7.5	0.6446
1501	"chen, s"	-0.2014	0.0989	6	7	8	6	166	9.4264	2009.8333	27.6667	1.5711
1508	"chen, x"	-0.3245	-0.0972	1	6	6	6	19	1.4869	2011.3333	3.1667	0.2478
1509	"chen, y"	-0.6037	-0.0261	2	16	18	22	227	18.0582	2005.7727	10.3182	0.8208
1515	"chen, ys"	-1.5348	-0.1472	22	1	4	9	66	4.5683	2011.3333	7.3333	0.5076
1517	"chen, z"	-0.5384	0.2048	16	10	15	12	189	12.8779	2010	15.75	1.0732
1529	"cheng, y"	-0.6941	-0.3284	15	4	5	6	68	5.3516	2008.3333	11.3333	0.8919
1539	"cheung, cmk"	-0.6336	0.4192	16	2	6	6	104	10.4766	2011.3333	17.3333	1.7461
1544	"chi, ps"	0.5213	-0.1131	24	3	3	5	10	4.4755	2015.4	2	0.8951
1562	"chinchilla-rodriguez, z"	0.566	0.8311	20	10	37	13	263	19.9989	2011.7692	20.2308	1.5384
1599	"choi, s"	0.2224	0.0535	10	3	6	5	94	8.6076	2012.2	18.8	1.7215
1619	"chowdhury, g"	-0.8017	-0.2127	2	2	4	5	86	5.3588	2007	17.2	1.0718
1635	"chua, ayk"	-0.2983	0.296	12	2	2	6	89	7.2506	2010	14.8333	1.2084
1638	"chuang, ky"	-0.6506	0.2632	12	3	7	6	147	9.502	2011.5	24.5	1.5837
1643	"chubin, d"	-0.47	0.3372	8	1	3	5	146	10.2827	1984.4	29.2	2.0565
1658	"chung, w"	-0.3602	0.028	3	6	12	7	173	8.1179	2007.7143	24.7143	1.1597
1666	"cicero, t"	1.4338	0.8464	30	3	30	16	241	26.7909	2012.8125	15.0625	1.6744
1703	"coccia, m"	-0.5017	0.6426	7	1	1	5	42	3.8017	2010.6	8.4	0.7603
1713	"cohen, j"	-0.2718	0.0295	1	1	1	10	151	10.7192	1992.1	15.1	1.0719
1722	"cole, c"	-0.7917	0.4363	26	5	21	22	284	16.3221	2003.7727	12.9091	0.7419
1740	"colliander, c"	0.6487	0.4249	14	2	5	5	66	5.4162	2011.8	13.2	1.0832
1757	"comins, ja"	0.4661	0.5809	28	2	3	5	26	9.7068	2015.4	5.2	1.9414
1791	"cooper, m"	-0.1421	-0.4188	13	2	5	14	136	7.3915	1991.1429	9.7143	0.528
1798	"corera-alvarez, e"	0.5543	0.7821	20	6	18	5	175	8.7837	2009.8	35	1.7567
1829	"costas, r"	1.0067	0.0451	29	14	32	21	617	62.0772	2011.9048	29.381	2.9561
1834	"cothey, v"	0.5423	-0.3112	11	4	4	5	98	4.4522	2004.8	19.6	0.8904
1840	"courtial, j"	-1.0958	1.4269	18	6	22	23	667	47.4875	1993.1739	29	2.0647
1859	"cozzens, s"	0.3883	0.4289	28	1	1	7	201	13.5457	1990	28.7143	1.9351
1895	"cronin, b"	-0.62	-0.57	31	13	28	56	1331	86.825	2006.9107	23.7679	1.5504
1945	"czerwon, h"	0.719	-0.0681	17	4	9	6	249	16.5446	1996	41.5	2.7574
1949	"d'angelo, ca"	1.6591	0.995	30	6	109	67	904	101.5291	2012.806	13.4925	1.5154
1979	"danell, r"	0.7651	0.4021	14	3	8	11	308	16.6277	2006.2727	28	1.5116
1983	"daniel, h"	0.9203	0.7449	23	1	2	5	239	12.1319	1999.2	47.8	2.4264
1984	"daniel, hd"	0.8076	0.6185	23	4	55	38	1130	63.7719	2009.7632	29.7368	1.6782
1991	"daraio, c"	1.0924	0.6163	30	3	9	10	197	13.7873	2011.2	19.7	1.3787
2024	"davis, c"	-0.7171	-0.5721	31	2	4	15	86	6.0153	1990.7333	5.7333	0.401
2030	"davis, m"	0.0874	-0.5245	1	8	12	6	72	3.9326	2003.5	12	0.6554
2086	"de moor, b"	0.2127	-0.1947	16	4	13	6	84	4.6387	2009.3333	14	0.7731
2090	"de moya anegon, f"	0.613	0.1887	11	5	12	8	126	14.8652	2013	15.75	1.8582
2091	"de moya-anegon, f"	0.6036	0.6554	20	21	58	31	475	38.3993	2010.8387	15.3226	1.2387
2125	"debackere, k"	0.6906	-0.2556	19	16	55	25	553	29.5763	2006.68	22.12	1.1831
2164	"delgado lopez-cozar, e"	-0.6814	1.359	18	6	23	12	90	16.7322	2013.5	7.5	1.3944
2168	"delia, g"	-0.0298	-1.2189	32	5	16	9	9	0.5004	1994.3333	1	0.0556
2237	"di costa, f"	1.7001	0.927	30	2	22	11	120	10.3703	2012.2727	10.9091	0.9428
2260	"didegah, f"	-0.2624	-0.7501	9	6	15	9	182	19.5558	2013.3333	20.2222	2.1729
2265	"diesner, j"	0.1523	-0.0873	10	1	5	5	16	6.5925	2015.2	3.2	1.3185
2290	"ding, k"	-0.568	0.2801	2	8	11	6	27	3.4946	2013.8333	4.5	0.5824
2294	"ding, y"	-0.4902	-0.053	2	30	85	42	820	65.5109	2011.8095	19.5238	1.5598
2304	"diospatonyi, i"	1.2783	-0.3216	24	2	8	5	74	3.5638	2006.2	14.8	0.7128
2359	"dore, j"	0.9773	-1.2908	21	3	19	10	173	10.9373	1997.2	17.3	1.0937
2360	"doreian, p"	0.6476	1.0195	20	2	6	8	175	15.8238	1996.5	21.875	1.978
2469	"eastman, c"	-0.2007	-0.1828	5	1	1	6	20	0.919	1994.8333	3.3333	0.1532
2492	"egghe, l"	0.142	0.6117	25	9	45	132	2094	109.365	2004.2803	15.8636	0.8285
2526	"ellis, d"	0.0527	-0.2612	12	6	27	10	345	16.2003	1998.9	34.5	1.62
